0 0 1 Partition(array, row) 1 ALL_PAIRS
0 47 52 Partition(array, row) 1 ALL_PAIRS
0 47 53 Partition(array, row) 1 ALL_PAIRS
0 48 49 Partition(array, row) 1 ALL_PAIRS
0 48 50 Partition(array, row) 1 ALL_PAIRS
0 48 51 Partition(array, row) 1 ALL_PAIRS
0 48 52 Partition(array, row) 1 ALL_PAIRS
0 48 53 Partition(array, row) 1 ALL_PAIRS
0 49 50 Partition(array, row) 1 ALL_PAIRS
0 49 51 Partition(array, row) 1 ALL_PAIRS
0 49 52 Partition(array, row) 1 ALL_PAIRS
0 49 53 Partition(array, row) 1 ALL_PAIRS
0 50 51 Partition(array, row) 1 ALL_PAIRS
0 50 52 Partition(array, row) 1 ALL_PAIRS
0 50 53 Partition(array, row) 1 ALL_PAIRS
0 51 52 Partition(array, row) 1 ALL_PAIRS
0 51 53 Partition(array, row) 1 ALL_PAIRS
0 52 53 Partition(array, row) 1 ALL_PAIRS
0 54 55 Partition(array, row) 1 ALL_PAIRS
0 54 56 Partition(array, row) 1 ALL_PAIRS
0 54 57 Partition(array, row) 1 ALL_PAIRS
0 54 58 Partition(array, row) 1 ALL_PAIRS
0 54 59 Partition(array, row) 1 ALL_PAIRS
0 54 60 Partition(array, row) 1 ALL_PAIRS
0 54 61 Partition(array, row) 1 ALL_PAIRS
0 54 62 Partition(array, row) 1 ALL_PAIRS
0 55 56 Partition(array, row) 1 ALL_PAIRS
0 55 57 Partition(array, row) 1 ALL_PAIRS
0 55 58 Partition(array, row) 1 ALL_PAIRS
0 55 59 Partition(array, row) 1 ALL_PAIRS
0 55 60 Partition(array, row) 1 ALL_PAIRS
0 55 61 Partition(array, row) 1 ALL_PAIRS
0 55 62 Partition(array, row) 1 ALL_PAIRS
0 56 57 Partition(array, row) 1 ALL_PAIRS
0 56 58 Partition(array, row) 1 ALL_PAIRS
0 56 59 Partition(array, row) 1 ALL_PAIRS
0 56 60 Partition(array, row) 1 ALL_PAIRS
0 56 61 Partition(array, row) 1 ALL_PAIRS
0 56 62 Partition(array, row) 1 ALL_PAIRS
0 57 58 Partition(array, row) 1 ALL_PAIRS
0 57 59 Partition(array, row) 1 ALL_PAIRS
0 57 60 Partition(array, row) 1 ALL_PAIRS
0 57 61 Partition(array, row) 1 ALL_PAIRS
0 57 62 Partition(array, row) 1 ALL_PAIRS
0 58 59 Partition(array, row) 1 ALL_PAIRS
0 58 60 Partition(array, row) 1 ALL_PAIRS
0 58 61 Partition(array, row) 1 ALL_PAIRS
0 58 62 Partition(array, row) 1 ALL_PAIRS
0 59 60 Partition(array, row) 1 ALL_PAIRS
0 59 61 Partition(array, row) 1 ALL_PAIRS
0 59 62 Partition(array, row) 1 ALL_PAIRS
0 60 61 Partition(array, row) 1 ALL_PAIRS
0 60 62 Partition(array, row) 1 ALL_PAIRS
0 61 62 Partition(array, row) 1 ALL_PAIRS
0 63 64 Partition(array, row) 1 ALL_PAIRS
0 63 65 Partition(array, row) 1 ALL_PAIRS
0 63 66 Partition(array, row) 1 ALL_PAIRS
0 63 67 Partition(array, row) 1 ALL_PAIRS
0 63 68 Partition(array, row) 1 ALL_PAIRS
0 63 69 Partition(array, row) 1 ALL_PAIRS
0 63 70 Partition(array, row) 1 ALL_PAIRS
0 63 71 Partition(array, row) 1 ALL_PAIRS
0 64 65 Partition(array, row) 1 ALL_PAIRS
0 64 66 Partition(array, row) 1 ALL_PAIRS
0 64 67 Partition(array, row) 1 ALL_PAIRS
0 64 68 Partition(array, row) 1 ALL_PAIRS
0 64 69 Partition(array, row) 1 ALL_PAIRS
0 64 70 Partition(array, row) 1 ALL_PAIRS
0 64 71 Partition(array, row) 1 ALL_PAIRS
0 65 66 Partition(array, row) 1 ALL_PAIRS
0 65 67 Partition(array, row) 1 ALL_PAIRS
0 65 68 Partition(array, row) 1 ALL_PAIRS
0 65 69 Partition(array, row) 1 ALL_PAIRS
0 65 70 Partition(array, row) 1 ALL_PAIRS
0 65 71 Partition(array, row) 1 ALL_PAIRS
0 66 67 Partition(array, row) 1 ALL_PAIRS
0 66 68 Partition(array, row) 1 ALL_PAIRS
0 66 69 Partition(array, row) 1 ALL_PAIRS
0 66 70 Partition(array, row) 1 ALL_PAIRS
0 66 71 Partition(array, row) 1 ALL_PAIRS
0 67 68 Partition(array, row) 1 ALL_PAIRS
0 67 69 Partition(array, row) 1 ALL_PAIRS
0 67 70 Partition(array, row) 1 ALL_PAIRS
0 67 71 Partition(array, row) 1 ALL_PAIRS
0 68 69 Partition(array, row) 1 ALL_PAIRS
0 68 70 Partition(array, row) 1 ALL_PAIRS
0 68 71 Partition(array, row) 1 ALL_PAIRS
0 69 70 Partition(array, row) 1 ALL_PAIRS
0 69 71 Partition(array, row) 1 ALL_PAIRS
0 70 71 Partition(array, row) 1 ALL_PAIRS
0 72 73 Partition(array, row) 1 ALL_PAIRS
0 72 74 Partition(array, row) 1 ALL_PAIRS
0 72 75 Partition(array, row) 1 ALL_PAIRS
0 72 76 Partition(array, row) 1 ALL_PAIRS
0 72 77 Partition(array, row) 1 ALL_PAIRS
0 72 78 Partition(array, row) 1 ALL_PAIRS
0 72 79 Partition(array, row) 1 ALL_PAIRS
0 72 80 Partition(array, row) 1 ALL_PAIRS
0 73 74 Partition(array, row) 1 ALL_PAIRS
0 73 75 Partition(array, row) 1 ALL_PAIRS
0 73 76 Partition(array, row) 1 ALL_PAIRS
0 73 77 Partition(array, row) 1 ALL_PAIRS
0 73 78 Partition(array, row) 1 ALL_PAIRS
0 73 79 Partition(array, row) 1 ALL_PAIRS
0 73 80 Partition(array, row) 1 ALL_PAIRS
0 74 75 Partition(array, row) 1 ALL_PAIRS
0 74 76 Partition(array, row) 1 ALL_PAIRS
0 74 77 Partition(array, row) 1 ALL_PAIRS
0 74 78 Partition(array, row) 1 ALL_PAIRS
0 74 79 Partition(array, row) 1 ALL_PAIRS
0 74 80 Partition(array, row) 1 ALL_PAIRS
0 75 76 Partition(array, row) 1 ALL_PAIRS
0 75 77 Partition(array, row) 1 ALL_PAIRS
0 75 78 Partition(array, row) 1 ALL_PAIRS
0 75 79 Partition(array, row) 1 ALL_PAIRS
0 75 80 Partition(array, row) 1 ALL_PAIRS
0 76 77 Partition(array, row) 1 ALL_PAIRS
0 76 78 Partition(array, row) 1 ALL_PAIRS
0 76 79 Partition(array, row) 1 ALL_PAIRS
0 76 80 Partition(array, row) 1 ALL_PAIRS
0 77 78 Partition(array, row) 1 ALL_PAIRS
0 77 79 Partition(array, row) 1 ALL_PAIRS
0 77 80 Partition(array, row) 1 ALL_PAIRS
0 78 79 Partition(array, row) 1 ALL_PAIRS
0 78 80 Partition(array, row) 1 ALL_PAIRS
0 79 80 Partition(array, row) 1 ALL_PAIRS
0 0 9 Partition(array, column) 1 ALL_PAIRS
0 0 18 Partition(array, column) 1 ALL_PAIRS
0 0 27 Partition(array, column) 1 ALL_PAIRS
0 0 36 Partition(array, column) 1 ALL_PAIRS
0 0 45 Partition(array, column) 1 ALL_PAIRS
0 0 54 Partition(array, column) 1 ALL_PAIRS
0 0 63 Partition(array, column) 1 ALL_PAIRS
0 0 72 Partition(array, column) 1 ALL_PAIRS
0 9 18 Partition(array, column) 1 ALL_PAIRS
0 9 27 Partition(array, column) 1 ALL_PAIRS
0 9 36 Partition(array, column) 1 ALL_PAIRS
0 9 45 Partition(array, column) 1 ALL_PAIRS
0 9 54 Partition(array, column) 1 ALL_PAIRS
0 9 63 Partition(array, column) 1 ALL_PAIRS
0 9 72 Partition(array, column) 1 ALL_PAIRS
0 18 27 Partition(array, column) 1 ALL_PAIRS
0 18 36 Partition(array, column) 1 ALL_PAIRS
0 18 45 Partition(array, column) 1 ALL_PAIRS
0 18 54 Partition(array, column) 1 ALL_PAIRS
0 18 63 Partition(array, column) 1 ALL_PAIRS
0 18 72 Partition(array, column) 1 ALL_PAIRS
0 27 36 Partition(array, column) 1 ALL_PAIRS
0 27 45 Partition(array, column) 1 ALL_PAIRS
0 27 54 Partition(array, column) 1 ALL_PAIRS
0 27 63 Partition(array, column) 1 ALL_PAIRS
0 27 72 Partition(array, column) 1 ALL_PAIRS
0 36 45 Partition(array, column) 1 ALL_PAIRS
0 36 54 Partition(array, column) 1 ALL_PAIRS
0 36 63 Partition(array, column) 1 ALL_PAIRS
0 36 72 Partition(array, column) 1 ALL_PAIRS
0 45 54 Partition(array, column) 1 ALL_PAIRS
0 45 63 Partition(array, column) 1 ALL_PAIRS
0 45 72 Partition(array, column) 1 ALL_PAIRS
0 54 63 Partition(array, column) 1 ALL_PAIRS
0 54 72 Partition(array, column) 1 ALL_PAIRS
0 63 72 Partition(array, column) 1 ALL_PAIRS
0 1 10 Partition(array, column) 1 ALL_PAIRS
0 1 19 Partition(array, column) 1 ALL_PAIRS
0 1 28 Partition(array, column) 1 ALL_PAIRS
0 1 37 Partition(array, column) 1 ALL_PAIRS
0 1 46 Partition(array, column) 1 ALL_PAIRS
0 1 55 Partition(array, column) 1 ALL_PAIRS
0 1 64 Partition(array, column) 1 ALL_PAIRS
0 1 73 Partition(array, column) 1 ALL_PAIRS
0 10 19 Partition(array, column) 1 ALL_PAIRS
0 10 28 Partition(array, column) 1 ALL_PAIRS
0 10 37 Partition(array, column) 1 ALL_PAIRS
0 10 46 Partition(array, column) 1 ALL_PAIRS
0 10 55 Partition(array, column) 1 ALL_PAIRS
0 10 64 Partition(array, column) 1 ALL_PAIRS
0 10 73 Partition(array, column) 1 ALL_PAIRS
0 19 28 Partition(array, column) 1 ALL_PAIRS
0 19 37 Partition(array, column) 1 ALL_PAIRS
0 19 46 Partition(array, column) 1 ALL_PAIRS
0 19 55 Partition(array, column) 1 ALL_PAIRS
0 19 64 Partition(array, column) 1 ALL_PAIRS
0 19 73 Partition(array, column) 1 ALL_PAIRS
0 28 37 Partition(array, column) 1 ALL_PAIRS
0 28 46 Partition(array, column) 1 ALL_PAIRS
0 28 55 Partition(array, column) 1 ALL_PAIRS
0 28 64 Partition(array, column) 1 ALL_PAIRS
0 28 73 Partition(array, column) 1 ALL_PAIRS
0 37 46 Partition(array, column) 1 ALL_PAIRS
0 37 55 Partition(array, column) 1 ALL_PAIRS
0 37 64 Partition(array, column) 1 ALL_PAIRS
0 37 73 Partition(array, column) 1 ALL_PAIRS
0 46 55 Partition(array, column) 1 ALL_PAIRS
0 46 64 Partition(array, column) 1 ALL_PAIRS
0 46 73 Partition(array, column) 1 ALL_PAIRS
0 55 64 Partition(array, column) 1 ALL_PAIRS
0 55 73 Partition(array, column) 1 ALL_PAIRS
0 64 73 Partition(array, column) 1 ALL_PAIRS
0 2 11 Partition(array, column) 1 ALL_PAIRS
0 2 20 Partition(array, column) 1 ALL_PAIRS
0 2 29 Partition(array, column) 1 ALL_PAIRS
0 2 38 Partition(array, column) 1 ALL_PAIRS
0 2 47 Partition(array, column) 1 ALL_PAIRS
0 2 56 Partition(array, column) 1 ALL_PAIRS
0 2 65 Partition(array, column) 1 ALL_PAIRS
0 2 74 Partition(array, column) 1 ALL_PAIRS
0 11 20 Partition(array, column) 1 ALL_PAIRS
0 11 29 Partition(array, column) 1 ALL_PAIRS
0 11 38 Partition(array, column) 1 ALL_PAIRS
0 11 47 Partition(array, column) 1 ALL_PAIRS
0 11 56 Partition(array, column) 1 ALL_PAIRS
0 11 65 Partition(array, column) 1 ALL_PAIRS
0 11 74 Partition(array, column) 1 ALL_PAIRS
0 20 29 Partition(array, column) 1 ALL_PAIRS
0 20 38 Partition(array, column) 1 ALL_PAIRS
0 20 47 Partition(array, column) 1 ALL_PAIRS
0 20 56 Partition(array, column) 1 ALL_PAIRS
0 20 65 Partition(array, column) 1 ALL_PAIRS
0 20 74 Partition(array, column) 1 ALL_PAIRS
0 29 38 Partition(array, column) 1 ALL_PAIRS
0 29 47 Partition(array, column) 1 ALL_PAIRS
0 29 56 Partition(array, column) 1 ALL_PAIRS
0 29 65 Partition(array, column) 1 ALL_PAIRS
0 29 74 Partition(array, column) 1 ALL_PAIRS
0 38 47 Partition(array, column) 1 ALL_PAIRS
0 38 56 Partition(array, column) 1 ALL_PAIRS
0 38 65 Partition(array, column) 1 ALL_PAIRS
0 38 74 Partition(array, column) 1 ALL_PAIRS
0 47 56 Partition(array, column) 1 ALL_PAIRS
0 47 65 Partition(array, column) 1 ALL_PAIRS
0 47 74 Partition(array, column) 1 ALL_PAIRS
0 56 65 Partition(array, column) 1 ALL_PAIRS
0 56 74 Partition(array, column) 1 ALL_PAIRS
0 65 74 Partition(array, column) 1 ALL_PAIRS
0 3 12 Partition(array, column) 1 ALL_PAIRS
0 3 21 Partition(array, column) 1 ALL_PAIRS
0 3 30 Partition(array, column) 1 ALL_PAIRS
0 3 39 Partition(array, column) 1 ALL_PAIRS
0 3 48 Partition(array, column) 1 ALL_PAIRS
0 3 57 Partition(array, column) 1 ALL_PAIRS
0 3 66 Partition(array, column) 1 ALL_PAIRS
0 3 75 Partition(array, column) 1 ALL_PAIRS
0 12 21 Partition(array, column) 1 ALL_PAIRS
0 12 30 Partition(array, column) 1 ALL_PAIRS
0 12 39 Partition(array, column) 1 ALL_PAIRS
0 12 48 Partition(array, column) 1 ALL_PAIRS
0 12 57 Partition(array, column) 1 ALL_PAIRS
0 12 66 Partition(array, column) 1 ALL_PAIRS
0 12 75 Partition(array, column) 1 ALL_PAIRS
0 21 30 Partition(array, column) 1 ALL_PAIRS
0 21 39 Partition(array, column) 1 ALL_PAIRS
0 21 48 Partition(array, column) 1 ALL_PAIRS
0 21 57 Partition(array, column) 1 ALL_PAIRS
0 21 66 Partition(array, column) 1 ALL_PAIRS
0 21 75 Partition(array, column) 1 ALL_PAIRS
0 30 39 Partition(array, column) 1 ALL_PAIRS
0 30 48 Partition(array, column) 1 ALL_PAIRS
0 30 57 Partition(array, column) 1 ALL_PAIRS
0 30 66 Partition(array, column) 1 ALL_PAIRS
0 30 75 Partition(array, column) 1 ALL_PAIRS
0 39 48 Partition(array, column) 1 ALL_PAIRS
0 39 57 Partition(array, column) 1 ALL_PAIRS
0 39 66 Partition(array, column) 1 ALL_PAIRS
0 39 75 Partition(array, column) 1 ALL_PAIRS
0 48 57 Partition(array, column) 1 ALL_PAIRS
0 48 66 Partition(array, column) 1 ALL_PAIRS
0 48 75 Partition(array, column) 1 ALL_PAIRS
0 57 66 Partition(array, column) 1 ALL_PAIRS
0 57 75 Partition(array, column) 1 ALL_PAIRS
0 66 75 Partition(array, column) 1 ALL_PAIRS
0 4 13 Partition(array, column) 1 ALL_PAIRS
0 4 22 Partition(array, column) 1 ALL_PAIRS
0 4 31 Partition(array, column) 1 ALL_PAIRS
0 4 40 Partition(array, column) 1 ALL_PAIRS
0 4 49 Partition(array, column) 1 ALL_PAIRS
0 4 58 Partition(array, column) 1 ALL_PAIRS
0 4 67 Partition(array, column) 1 ALL_PAIRS
0 4 76 Partition(array, column) 1 ALL_PAIRS
0 13 22 Partition(array, column) 1 ALL_PAIRS
0 13 31 Partition(array, column) 1 ALL_PAIRS
0 13 40 Partition(array, column) 1 ALL_PAIRS
0 13 49 Partition(array, column) 1 ALL_PAIRS
0 13 58 Partition(array, column) 1 ALL_PAIRS
0 13 67 Partition(array, column) 1 ALL_PAIRS
0 13 76 Partition(array, column) 1 ALL_PAIRS
0 22 31 Partition(array, column) 1 ALL_PAIRS
0 22 40 Partition(array, column) 1 ALL_PAIRS
0 22 49 Partition(array, column) 1 ALL_PAIRS
0 22 58 Partition(array, column) 1 ALL_PAIRS
0 22 67 Partition(array, column) 1 ALL_PAIRS
0 22 76 Partition(array, column) 1 ALL_PAIRS
0 31 40 Partition(array, column) 1 ALL_PAIRS
0 31 49 Partition(array, column) 1 ALL_PAIRS
0 31 58 Partition(array, column) 1 ALL_PAIRS
0 31 67 Partition(array, column) 1 ALL_PAIRS
0 31 76 Partition(array, column) 1 ALL_PAIRS
0 40 49 Partition(array, column) 1 ALL_PAIRS
0 40 58 Partition(array, column) 1 ALL_PAIRS
0 40 67 Partition(array, column) 1 ALL_PAIRS
0 40 76 Partition(array, column) 1 ALL_PAIRS
0 49 58 Partition(array, column) 1 ALL_PAIRS
0 49 67 Partition(array, column) 1 ALL_PAIRS
0 49 76 Partition(array, column) 1 ALL_PAIRS
0 58 67 Partition(array, column) 1 ALL_PAIRS
0 58 76 Partition(array, column) 1 ALL_PAIRS
0 67 76 Partition(array, column) 1 ALL_PAIRS
0 5 14 Partition(array, column) 1 ALL_PAIRS
0 5 23 Partition(array, column) 1 ALL_PAIRS
0 5 32 Partition(array, column) 1 ALL_PAIRS
0 5 41 Partition(array, column) 1 ALL_PAIRS
0 5 50 Partition(array, column) 1 ALL_PAIRS
0 5 59 Partition(array, column) 1 ALL_PAIRS
0 5 68 Partition(array, column) 1 ALL_PAIRS
0 5 77 Partition(array, column) 1 ALL_PAIRS
0 14 23 Partition(array, column) 1 ALL_PAIRS
0 14 32 Partition(array, column) 1 ALL_PAIRS
0 14 41 Partition(array, column) 1 ALL_PAIRS
0 14 50 Partition(array, column) 1 ALL_PAIRS
0 14 59 Partition(array, column) 1 ALL_PAIRS
